fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.0,0.00317,0.00546,0.95982,0.00041,2.18871,0.85405,9.58724,0.30755,1.77009,0.01854,0.44051,0.39373,0.0,0.13863,0.40144,0.0,0.0,0.0,0.48043,0.0,0.64974,0.0,0.0
0.0,0.00433,0.00591,0.83305,0.00048,2.11314,0.65851,9.66379,0.45001,1.75012,0.01854,0.51855,0.37377,0.0,0.11857,0.31667,0.0,0.0,0.0,0.41011,0.0,0.87874,0.0,0.0
0.0,0.00651,0.00917,0.91931,0.00058,2.25691,0.64456,8.19131,0.47547,1.34124,0.01923,0.60895,0.29863,0.0,0.09638,0.32039,0.0,0.0,0.0,0.5183,0.0,0.78429,0.0,0.0
0.0,0.0101,0.01022,0.937,0.00048,3.01464,0.76138,7.70525,0.50137,1.49821,0.015,0.70333,0.408,0.0,0.10367,0.51137,0.0,0.0,0.0,0.49197,0.0,1.0,0.0,0.0
0.0,0.00752,0.00832,0.82892,0.00037,1.7438,0.86621,4.64191,0.41343,0.85735,0.02603,0.7742,0.2942,0.0,0.16843,0.31102,0.0,0.0,0.0,0.616,0.0,1.0,0.0,0.0
0.0,0.01174,0.01039,0.87768,0.0005,3.15116,0.8,7.38475,0.5,1.70046,0.01491,0.67077,0.4,0.0,0.09909,0.37796,0.0,0.0,0.0,0.52139,0.0,1.0,0.0,0.0
0.0,0.01047,0.00902,0.93342,0.00064,2.78699,0.77867,7.65627,0.45801,1.68425,0.01526,0.48513,0.36712,0.0,0.09751,0.43063,0.0,0.0,0.0,0.54295,0.0,0.90479,0.0,0.0
0.0,0.00609,0.00973,0.94428,0.00056,2.11916,0.74387,9.89135,0.44107,1.34521,0.01968,0.60331,0.26247,0.0,0.11084,0.34753,0.0,0.0,0.0,0.49276,0.0,0.81914,0.0,0.0
0.0,0.00938,0.00917,0.98,0.00026,1.29544,0.85724,17.09371,0.54483,1.05567,0.01455,0.9,0.29974,0.0,0.09147,0.60394,0.0,0.0,0.0,0.52796,0.0,0.87083,0.0,0.0
0.0,0.00637,0.00905,0.92496,0.00055,2.10135,0.77025,8.89264,0.46123,1.50618,0.01955,0.60861,0.3276,0.0,0.11204,0.35457,0.0,0.0,0.0,0.47669,0.0,0.77143,0.0,0.0
0.0,0.01042,0.00737,0.91087,0.00035,1.6109,0.93698,3.63755,0.23113,1.14085,0.02209,0.87713,0.17157,0.0,0.13097,0.2705,0.0,0.0,0.0,0.432,0.0,0.73047,0.0,0.0
0.0,0.00939,0.00668,0.87914,0.0004,1.97336,0.95,3.66521,0.21712,1.09336,0.02078,0.88192,0.20265,0.0,0.09433,0.22374,0.0,0.0,0.0,0.48128,0.0,0.8272,0.0,0.0
0.0,0.00922,0.0092,0.98,0.00027,1.2802,0.84715,17.61418,0.54096,1.07666,0.01443,0.9,0.30349,0.0,0.09092,0.60315,0.0,0.0,0.0,0.53782,0.0,0.87534,0.0,0.0
0.0,0.01182,0.00761,0.76847,0.00038,2.08421,0.73199,3.4303,0.21844,1.12949,0.01849,0.76408,0.20173,0.0,0.09433,0.21409,0.0,0.0,0.0,0.46869,0.0,0.71867,0.0,0.0
0.0,0.00695,0.01026,0.92562,0.00054,2.39734,0.76847,7.36739,0.43725,1.09166,0.01968,0.55788,0.36802,0.0,0.10062,0.35364,0.0,0.0,0.0,0.49738,0.0,0.77419,0.0,0.0
0.0,0.0059,0.00818,0.91198,0.00046,2.37675,0.95,8.88926,0.51932,1.55342,0.01854,0.44224,0.31501,0.0,0.11204,0.32498,0.0,0.0,0.0,0.47668,0.0,0.76192,0.0,0.0
0.0,0.00936,0.00884,0.98,0.00027,1.31925,0.86548,17.44631,0.54394,1.013,0.01466,0.9,0.30113,0.0,0.09007,0.59154,0.0,0.0,0.0,0.53252,0.0,0.88618,0.0,0.0
0.0,0.01184,0.00684,0.83809,0.00038,1.8461,0.95,3.25237,0.21844,1.09778,0.02254,0.9,0.23518,0.0,0.09579,0.20505,0.0,0.0,0.0,0.53349,0.0,1.0,0.0,0.0
0.0,0.01183,0.00805,0.937,0.0005,2.84561,0.8,6.23405,0.45251,1.5,0.015,0.57156,0.44691,0.0,0.1,0.47831,0.0,0.0,0.0,0.45036,0.0,0.96623,0.0,0.0
0.0,0.01005,0.01,0.937,0.00054,2.79535,0.80081,6.34421,0.47987,1.5,0.01487,0.7,0.4,0.0,0.09298,0.57858,0.0,0.0,0.0,0.46625,0.0,0.99119,0.0,0.0
0.0,0.00619,0.00968,0.93443,0.00059,2.14794,0.73878,8.9193,0.46123,1.56561,0.01969,0.60895,0.33047,0.0,0.1083,0.39041,0.0,0.0,0.0,0.47534,0.0,0.77419,0.0,0.0
0.0,0.00907,0.00871,0.98,0.00026,1.25655,0.77673,17.64658,0.54437,0.98899,0.01526,0.9,0.30568,0.0,0.09401,0.60604,0.0,0.0,0.0,0.48577,0.0,0.85698,0.0,0.0
0.0,0.00607,0.008,0.9403,0.00053,2.20625,0.79355,10.01662,0.47087,1.60351,0.01968,0.61315,0.27272,0.0,0.11448,0.33759,0.0,0.0,0.0,0.5384,0.0,0.83833,0.0,0.0
0.0,0.00428,0.00591,0.82586,0.00055,2.11314,0.67983,10.21679,0.39035,1.52879,0.02086,0.39699,0.38848,0.0,0.1198,0.28457,0.0,0.0,0.0,0.41011,0.0,0.87874,0.0,0.0
0.0,0.00433,0.00556,0.83305,0.00044,2.25118,0.75318,8.9841,0.4256,1.62888,0.01586,0.62767,0.38073,0.0,0.1097,0.29593,0.0,0.0,0.0,0.47594,0.0,0.85307,0.0,0.0
0.0,0.00617,0.00759,0.92283,0.00056,2.14301,0.81938,8.9193,0.37206,1.52461,0.01871,0.78032,0.34307,0.0,0.12061,0.2975,0.0,0.0,0.0,0.42844,0.0,0.71604,0.0,0.0
0.0,0.00398,0.00645,0.84408,0.00048,2.10328,0.61453,9.93002,0.4514,1.75012,0.01987,0.55209,0.38657,0.0,0.11857,0.31667,0.0,0.0,0.0,0.37429,0.0,0.87855,0.0,0.0
0.0,0.0073,0.00905,0.95397,0.0006,3.20497,0.89947,8.76698,0.54102,1.54745,0.01131,0.8316,0.38221,0.0,0.1,0.41412,0.0,0.0,0.0,0.43798,0.0,1.0,0.0,0.0
0.0,0.00921,0.00996,0.9055,0.00049,3.11505,0.8,7.66934,0.44574,1.60648,0.01344,0.76869,0.38621,0.0,0.09294,0.49238,0.0,0.0,0.0,0.46631,0.0,1.0,0.0,0.0
0.0,0.00961,0.01176,0.8784,0.00047,2.71791,0.80819,6.85218,0.50137,1.39024,0.01586,0.70333,0.408,0.0,0.08536,0.51137,0.0,0.0,0.0,0.49197,0.0,1.0,0.0,0.0
0.0,0.00992,0.00958,0.92808,0.00047,2.99336,0.87024,8.41818,0.43865,1.4161,0.01394,0.63448,0.408,0.0,0.10367,0.43706,0.0,0.0,0.0,0.47378,0.0,0.91081,0.0,0.0
0.0,0.00642,0.00917,0.91931,0.00047,1.90042,0.60966,10.71311,0.43936,1.34124,0.01923,0.60925,0.28252,0.0,0.09294,0.29398,0.0,0.0,0.0,0.52477,0.0,0.70663,0.0,0.0
0.0,0.00991,0.00994,0.94538,0.0005,3.08564,0.77525,7.40526,0.50518,1.47373,0.0155,0.70861,0.42009,0.0,0.09845,0.46213,0.0,0.0,0.0,0.49388,0.0,0.9471,0.0,0.0
0.0,0.00746,0.0071,0.80902,0.00037,1.78278,0.87034,4.49534,0.41343,0.84523,0.02654,0.70841,0.25257,0.0,0.17176,0.3078,0.0,0.0,0.0,0.7624,0.0,1.0,0.0,0.0
0.0,0.00733,0.00867,0.82006,0.00034,1.81628,0.85008,4.7364,0.41836,0.84387,0.0245,0.69596,0.31906,0.0,0.17257,0.29039,0.0,0.0,0.0,0.66568,0.0,1.0,0.0,0.0
0.0,0.01047,0.01025,0.94985,0.00063,2.78733,0.7302,8.54463,0.45722,1.68425,0.01521,0.48236,0.3904,0.0,0.09335,0.45023,0.0,0.0,0.0,0.52109,0.0,0.93017,0.0,0.0
0.0,0.0116,0.00913,0.91806,0.00066,3.11685,0.88041,7.97755,0.51196,1.58017,0.01457,0.52705,0.29405,0.0,0.07637,0.5473,0.0,0.0,0.0,0.54295,0.0,1.0,0.0,0.0
0.0,0.00977,0.00808,0.98,0.00029,0.85761,0.87356,14.79211,0.54483,1.17334,0.01808,0.9,0.29974,0.0,0.09147,0.58605,0.0,0.0,0.0,0.46252,0.0,0.9731,0.0,0.0
0.0,0.00589,0.00965,0.95102,0.00055,2.11916,0.69039,9.83697,0.45617,1.34521,0.01913,0.59125,0.26247,0.0,0.11559,0.37157,0.0,0.0,0.0,0.4951,0.0,0.82809,0.0,0.0
0.0,0.00938,0.00809,0.87599,0.00026,1.29544,0.95,17.09371,0.53532,0.82223,0.01804,0.9,0.3358,0.0,0.08116,0.56578,0.0,0.0,0.0,0.4165,0.0,0.87083,0.0,0.0
0.0,0.01067,0.00806,0.92235,0.00052,3.06983,0.70809,6.71443,0.5,0.99771,0.015,0.7,0.36319,0.0,0.08678,0.46217,0.0,0.0,0.0,0.54582,0.0,0.97536,0.0,0.0
0.0,0.00627,0.00965,0.93467,0.00059,2.13039,0.74811,9.07723,0.45912,1.56532,0.01994,0.60949,0.32682,0.0,0.10729,0.38572,0.0,0.0,0.0,0.47534,0.0,0.77419,0.0,0.0
0.0,0.00994,0.01005,0.93824,0.0005,2.97496,0.79789,7.42084,0.49549,1.52198,0.01493,0.70208,0.39815,0.0,0.10005,0.49929,0.0,0.0,0.0,0.49792,0.0,1.0,0.0,0.0
0.0,0.00908,0.01103,0.98,0.00032,0.95924,0.79318,17.64658,0.53734,0.98899,0.01753,0.62943,0.27584,0.0,0.0527,0.80376,0.0,0.0,0.0,0.49202,0.0,0.87914,0.0,0.0
0.0,0.01029,0.01,0.94253,0.00054,2.77974,0.79102,6.34421,0.47987,1.52755,0.01484,0.70796,0.4,0.0,0.09354,0.57778,0.0,0.0,0.0,0.45456,0.0,0.98529,0.0,0.0
0.0,0.00904,0.01083,0.937,0.0005,3.0178,0.72308,7.5,0.5,1.66848,0.0153,0.68342,0.36403,0.0,0.10768,0.48249,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.0,0.0101,0.01047,0.937,0.00051,2.88312,0.82564,7.52644,0.4728,1.45456,0.0157,0.77503,0.40202,0.0,0.10037,0.5149,0.0,0.0,0.0,0.50565,0.0,0.9517,0.0,0.0
0.0,0.01029,0.00755,0.937,0.00038,3.2479,0.7444,7.32014,0.52162,1.35006,0.01404,0.68064,0.32365,0.0,0.09766,0.47846,0.0,0.0,0.0,0.45865,0.0,1.0,0.0,0.0
0.0,0.00639,0.01138,0.92989,0.00041,2.96478,0.84925,5.06818,0.57639,1.5,0.01446,0.44937,0.37843,0.0,0.11899,0.49555,0.0,0.0,0.0,0.51928,0.0,1.0,0.0,0.0
0.0,0.00389,0.00674,0.84408,0.00045,1.98508,0.65991,10.10688,0.50747,1.50743,0.0196,0.5444,0.42878,0.0,0.11739,0.32835,0.0,0.0,0.0,0.35017,0.0,0.87855,0.0,0.0
0.0,0.00402,0.00413,0.84194,0.00049,2.94788,0.68202,9.04978,0.43093,1.62888,0.01487,0.80444,0.37466,0.0,0.11826,0.20703,0.0,0.0,0.0,0.50448,0.0,0.77083,0.0,0.0
0.0,0.00884,0.00724,0.94064,0.00063,3.23712,0.8343,7.46681,0.51892,1.78242,0.01131,0.6429,0.38221,0.0,0.12475,0.53368,0.0,0.0,0.0,0.34363,0.0,1.0,0.0,0.0
0.0,0.00795,0.01114,0.95397,0.00067,3.12124,0.95,9.25786,0.54102,1.54745,0.01156,0.9,0.32098,0.0,0.07695,0.52374,0.0,0.0,0.0,0.43798,0.0,1.0,0.0,0.0
0.0,0.00394,0.00641,0.84023,0.00047,2.09479,0.60892,9.80415,0.44805,1.74708,0.0201,0.55496,0.38719,0.0,0.11703,0.31747,0.0,0.0,0.0,0.38215,0.0,0.89852,0.0,0.0
0.0,0.01047,0.00914,0.96626,0.00048,3.12282,0.8,6.16394,0.46487,1.4662,0.01569,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.50517,0.0,0.85839,0.0,0.0
0.0,0.01003,0.01162,0.88338,0.00049,3.29362,0.62086,7.91625,0.64021,1.56487,0.01517,0.70333,0.45621,0.0,0.09788,0.4804,0.0,0.0,0.0,0.63687,0.0,0.90519,0.0,0.0
0.0,0.01153,0.00759,0.92808,0.00047,3.937,0.78326,10.95363,0.43865,1.39005,0.01468,0.63448,0.40279,0.0,0.10367,0.43357,0.0,0.0,0.0,0.47378,0.0,0.91081,0.0,0.0
0.0,0.01034,0.01181,0.8827,0.00047,2.82267,0.73964,6.6799,0.50137,1.35406,0.01714,0.70333,0.37563,0.0,0.08534,0.51255,0.0,0.0,0.0,0.5275,0.0,1.0,0.0,0.0
0.0,0.00894,0.01217,0.91463,0.0005,2.80809,0.84384,8.59406,0.3311,1.14847,0.01867,0.59852,0.44481,0.0,0.09683,0.43209,0.0,0.0,0.0,0.40103,0.0,0.90093,0.0,0.0
0.0,0.00992,0.01001,0.9296,0.00052,2.6457,0.95,8.66346,0.51318,1.22318,0.01542,0.62414,0.46601,0.0,0.10981,0.40745,0.0,0.0,0.0,0.51379,0.0,0.91081,0.0,0.0
0.0,0.01,0.01068,0.88859,0.00049,2.3027,0.8,7.91956,0.62096,1.40947,0.015,0.9,0.4,0.0,0.10957,0.54389,0.0,0.0,0.0,0.38805,0.0,1.0,0.0,0.0
0.0,0.00994,0.00705,0.97048,0.00056,1.97128,0.78706,8.50892,0.57967,1.68425,0.01858,0.44187,0.32629,0.0,0.11242,0.41926,0.0,0.0,0.0,0.52109,0.0,0.93017,0.0,0.0
0.0,0.00871,0.0071,0.80533,0.00045,1.60424,0.87034,6.32321,0.37468,0.84523,0.0193,0.73319,0.25257,0.0,0.1728,0.32876,0.0,0.0,0.0,0.7624,0.0,0.97888,0.0,0.0
0.0,0.00971,0.01027,0.9676,0.00066,2.96567,0.7302,8.54463,0.45708,1.6184,0.01518,0.46282,0.40872,0.0,0.10439,0.45023,0.0,0.0,0.0,0.49383,0.0,0.9108,0.0,0.0
0.0,0.01127,0.0111,0.937,0.00057,2.42841,0.8,7.59524,0.58348,1.24859,0.01718,0.65013,0.38324,0.0,0.08733,0.5,0.0,0.0,0.0,0.45755,0.0,1.0,0.0,0.0
0.0,0.01,0.01,0.937,0.00047,3.35038,0.95,7.5,0.34701,1.51265,0.01731,0.61377,0.4,0.0,0.11152,0.52706,0.0,0.0,0.0,0.43864,0.0,0.9082,0.0,0.0
0.0,0.01116,0.01039,0.90777,0.00057,2.99222,0.7302,8.03658,0.49999,1.57554,0.01129,0.25296,0.45934,0.0,0.10038,0.42254,0.0,0.0,0.0,0.61076,0.0,1.0,0.0,0.0
0.0,0.00786,0.00981,0.87599,0.00022,1.10109,0.89676,18.17239,0.55664,0.82239,0.01787,0.9,0.3244,0.0,0.09016,0.61005,0.0,0.0,0.0,0.41916,0.0,0.96395,0.0,0.0
0.0,0.01,0.01103,0.96799,0.00047,3.41812,0.82408,7.10461,0.55183,1.21643,0.01527,0.67117,0.36094,0.0,0.09256,0.51214,0.0,0.0,0.0,0.46194,0.0,1.0,0.0,0.0
